j,rho,icc,g,design
80,.75,.77274323,76.568718,7.7068291
81,.75,.74049032,76.441574,7.5408058
82,.75,.7537204,76.831558,7.6259942
83,.75,.75997901,74.847763,7.5579591
84,.75,.73176157,76.908386,7.5197635
85,.75,.73104429,76.060135,7.4747763
86,.75,.72763312,75.746101,7.4422941
87,.75,.72494495,76.133087,7.4476404
88,.75,.73769534,77.255829,7.5666089
89,.75,.74791616,75.580704,7.5352583
90,.75,.70490944,77.328621,7.4030242
91,.75,.72329199,76.901413,7.4765558
92,.75,.76343906,75.674858,7.6164103
93,.75,.76746041,77.933228,7.748755
94,.75,.74549323,76.975937,7.5920715
95,.75,.72556651,75.340553,7.4120855
96,.75,.75373888,75.434845,7.5567479
97,.75,.79397416,77.291046,7.8468542
98,.75,.72588897,75.781403,7.4352536
99,.75,.71765006,76.963676,7.4508615
100,.75,.73729318,75.682159,7.4874992
1,.99000001,.98972726,76.101486,8.679285
2,.99000001,.99041992,75.530983,8.6496801
3,.99000001,.98822182,74.985756,8.6089687
4,.99000001,.9912222,75.31427,8.6407146
5,.99000001,.99013972,76.470108,8.7020664
6,.99000001,.98834872,76.065239,8.6712532
7,.99000001,.9879595,75.222549,8.621419
8,.99000001,.98878813,75.357697,8.6327286
9,.99000001,.99081481,77.647339,8.7717342
10,.99000001,.99025416,78.041588,8.7915163
11,.99000001,.99004585,76.041939,8.6772671
12,.99000001,.98788279,77.258736,8.7369728
13,.99000001,.98744428,76.122856,8.670619
14,.99000001,.98963028,75.610649,8.650836
15,.99000001,.98828149,75.774559,8.6543808
16,.99000001,.98932964,75.152901,8.6233206
17,.99000001,.98844284,76.075371,8.6722383
18,.99000001,.9883008,75.722504,8.6514921
19,.99000001,.99096715,75.817947,8.6684561
20,.99000001,.98999119,76.404076,8.6976643
21,.99000001,.98971164,78.276093,8.8023319
22,.99000001,.98953491,77.33828,8.7486792
23,.99000001,.99017686,75.75412,8.661397
24,.99000001,.9903053,77.900032,8.7837639
25,.99000001,.98912978,76.033958,8.6728497
26,.99000001,.99103117,75.533493,8.6524572
27,.99000001,.98792875,77.199646,8.7338314
28,.99000001,.9895485,75.815628,8.662199
29,.99000001,.98720968,78.039101,8.7780266
30,.99000001,.99031299,76.648293,8.7129498
31,.99000001,.98882192,73.935234,8.5510206
32,.99000001,.9890452,77.687843,8.7662849
33,.99000001,.99011153,75.970024,8.6734476
34,.99000001,.98930818,77.185158,8.739027
35,.99000001,.9886387,75.789047,8.6567516
36,.99000001,.98763919,75.491066,8.6354094
37,.99000001,.9901045,76.588669,8.7086554
38,.99000001,.98960912,76.403862,8.6959963
39,.99000001,.99082834,76.842468,8.7262173
40,.99000001,.98882157,75.74408,8.654973
41,.99000001,.99002826,75.903503,8.6692896
42,.99000001,.98726124,76.434586,8.6875563
43,.99000001,.98899847,76.371605,8.6915131
44,.99000001,.99082279,76.894257,8.7291327
45,.99000001,.99089092,75.245399,8.6353397
46,.99000001,.98957783,75.244064,8.6296167
47,.99000001,.98765934,76.244209,8.6784582
48,.99000001,.98903078,74.398415,8.5786533
49,.99000001,.98738426,76.022232,8.6646271
50,.99000001,.98992366,75.849571,8.6657581
51,.99000001,.98883229,75.64357,8.6492758
52,.99000001,.98904377,77.586723,8.7605715
53,.99000001,.98768175,76.579384,8.697608
54,.99000001,.990035,75.940475,8.6714296
55,.99000001,.98881924,75.685043,8.6515903
56,.99000001,.98973113,75.922684,8.6691008
57,.99000001,.99081612,75.948715,8.6752748
58,.99000001,.98826569,76.199333,8.6785326
59,.99000001,.99061811,77.676926,8.7725449
60,.99000001,.9903692,76.201607,8.6877708
61,.99000001,.98995054,75.463135,8.6437731
62,.99000001,.98792255,77.739548,8.764287
63,.99000001,.98927516,76.78315,8.7160997
64,.99000001,.98942488,76.777,8.7164011
65,.99000001,.99135137,75.812202,8.6697855
66,.99000001,.9888739,75.356812,8.6330471
67,.99000001,.98947805,76.352264,8.6924915
68,.99000001,.98999697,77.226601,8.7443752
69,.99000001,.98861229,76.050819,8.6715717
70,.99000001,.99084324,77.352264,8.7551765
71,.99000001,.99053103,77.038857,8.7360659
72,.99000001,.989658,76.688156,8.7123699
73,.99000001,.98898518,76.795494,8.715539
74,.99000001,.98916852,76.07798,8.6755276
75,.99000001,.98884076,74.815323,8.6018372
76,.99000001,.98723429,76.324722,8.6811953
77,.99000001,.99051321,77.029373,8.7354507
78,.99000001,.98835886,76.074654,8.671834
79,.99000001,.98919255,75.357025,8.6344318
80,.99000001,.99017954,76.470871,8.702282
81,.99000001,.98942626,76.990982,8.7285433
82,.99000001,.98936069,76.015793,8.6728125
83,.99000001,.99067062,74.825439,8.6102667
84,.99000001,.98866141,77.847221,8.7735901
85,.99000001,.98960054,77.304337,8.7470465
86,.99000001,.98955822,76.914169,8.7247629
87,.99000001,.98906869,75.637253,8.6499348
88,.99000001,.99063587,76.670319,8.7156029
89,.99000001,.98989964,75.547455,8.6483812
90,.99000001,.99125791,76.59005,8.7137384
91,.99000001,.98861182,76.54184,8.6995144
92,.99000001,.98891187,76.52446,8.6998291
93,.99000001,.98552758,76.258919,8.6700487
94,.99000001,.98834038,75.619354,8.6457691
95,.99000001,.99041235,75.775169,8.6636162
96,.99000001,.98868215,76.09845,8.6745892
97,.99000001,.98942494,76.439842,8.6972446
98,.99000001,.99006402,75.889305,8.6686335
99,.99000001,.98755598,77.007965,8.7213602
100,.99000001,.99052376,77.028847,8.735467
